"Subject" "Activity" "Activity.Label" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-correlation()-X,Y" "tBodyAcc-correlation()-X,Z" "tBodyAcc-correlation()-Y,Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-correlation()-X,Y" "tGravityAcc-correlation()-X,Z" "tGravityAcc-correlation()-Y,Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-correlation()-X,Y" "tBodyAccJerk-correlation()-X,Z" "tBodyAccJerk-correlation()-Y,Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-correlation()-X,Y" "tBodyGyro-correlation()-X,Z" "tBodyGyro-correlation()-Y,Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-correlation()-X,Y" "tBodyGyroJerk-correlation()-X,Z" "tBodyAccMag-arCoeff()2" "tBodyAccMag-arCoeff()3" "tGravityAccMag-arCoeff()2" "tGravityAccMag-arCoeff()3" "tBodyAccJerkMag-arCoeff()2" "tBodyAccJerkMag-arCoeff()3" "tBodyGyroMag-arCoeff()2" "tBodyGyroMag-arCoeff()3" "tBodyGyroJerkMag-arCoeff()2" "tBodyGyroJerkMag-arCoeff()3" "tBodyGyroJerkMag-arCoeff()4" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-maxInds-X" "fBodyAcc-maxInds-Y" "fBodyAcc-maxInds-Z" "fBodyAcc-bandsEnergy()-49,64" "fBodyAcc-bandsEnergy()-1,24" "fBodyAcc-bandsEnergy()-25,48" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-maxInds-X" "fBodyAccJerk-maxInds-Y" "fBodyAccJerk-maxInds-Z" "fBodyAccJerk-bandsEnergy()-49,64" "fBodyAccJerk-bandsEnergy()-1,24" "fBodyAccJerk-bandsEnergy()-25,48" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-maxInds-X" "fBodyGyro-maxInds-Y" "fBodyGyro-maxInds-Z" "fBodyGyro-bandsEnergy()-49,64" "fBodyGyro-bandsEnergy()-1,24" "fBodyAccMag-iqr()" "fBodyAccMag-meanFreq()" "fBodyAccMag-skewness()" "fBodyBodyAccJerkMag-iqr()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyAccJerkMag-skewness()" "fBodyBodyGyroMag-iqr()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroMag-skewness()" "fBodyBodyGyroJerkMag-iqr()" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
1 1 "WALKING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.203503298779781 -0.140663320581729 0.196151041060519 0.744867411573487 -0.0825562579855908 0.072339870389049 0.171824868512968 -0.167498098933141 0.146578594036311 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.181411610566859 -0.108980031707493 0.208920598589625 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.034900849132853 -0.0435905702789625 -0.10499394311268 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 0.246227438940634 -0.167193038574928 -0.0445568387524496 0.0854444841365706 -0.0445568387524496 0.0854444841365706 -0.0878022571066282 -0.14103595711415 -0.134577102586455 0.14389614101585 -0.245125220742248 -0.067101072789366 -0.128115556073487 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.76201543014121 -0.781556195391931 -0.902904010596542 -0.930150528878963 -0.798699154524496 -0.946905131729107 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.336253602305476 -0.407953890489914 -0.300634005763689 -0.9137311529683 -0.897580075936599 -0.950222492449568 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.750624399207493 -0.866319605711816 -0.814369472556196 -0.95563135648415 -0.866944157896254 -0.627701459778098 0.142062162506138 -0.419852460748703 -0.575736145472623 0.200055179527839 -0.319888971925965 -0.585177980261427 0.0649309438160231 -0.205848254997406 -0.634812134697406 -0.535773765244957 0.122790250801441 -0.0390790177233429
2 1 "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.186637683145695 -0.169618852403311 0.194535818751225 0.660782866688742 -0.147219886910411 0.134865335090728 0.293306032431457 -0.0741719943708609 0.0691912329423841 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.265153312015894 0.0393154392191391 0.155085641165397 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.117634999750629 0.17754154605894 -0.169148962615563 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 0.19239867245596 0.111621551897682 -0.0769758413990066 0.0904740107192053 -0.0769758413990066 0.0904740107192053 -0.116447271122517 -0.15343313692553 -0.166604534372185 0.144381516838079 -0.350318528578808 -0.0238868403611921 -0.00727562749645695 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.758598588350993 -0.824503310298013 -0.845899133288079 -0.941789252119205 -0.833793856092715 -0.961691047019868 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.249403973509934 -0.326622516556291 -0.283311258278146 -0.926829161685431 -0.89620059705298 -0.962758089536424 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.885871963807947 -0.856868190480132 -0.840374514533113 -0.951521594039735 -0.877742982625828 -0.652372619915563 0.192199738218212 -0.412168401405894 -0.593574456669868 0.193066821118212 -0.279037812333808 -0.741783144112252 0.0471324812379801 -0.304666564887748 -0.754178157903973 -0.434486657251656 0.17228684113245 -0.0788654586730132
3 1 "WALKING" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.193681127878446 -0.2262186405 0.156544326025806 0.707814353343108 -0.0260590480328739 0.0480937904190616 0.250571882460411 -0.0274413383469208 0.0152071986105572 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.188052629890821 -0.0507636864252493 0.0852182319044868 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.243857290725601 -0.0292560328593842 -0.130032880846334 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 0.014017028808563 0.0258443926935836 0.0538960355278592 0.0566239901573607 0.0538960355278592 0.0566239901573607 -0.0466330993418768 -0.0665678534020821 -0.000264255063504399 0.0680683162800586 -0.171073709131056 -0.0880310760008798 -0.121169067362152 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.761233561982405 -0.791397849266862 -0.878637490516129 -0.968092738973607 -0.893062241601173 -0.979676490821114 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.378768328445748 -0.387800586510264 -0.341466275659824 -0.960800284721408 -0.932697198592375 -0.980556463255132 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.878787878064516 -0.82272254183871 -0.80139548982698 -0.973197381583578 -0.929241456539589 -0.679892675845455 0.0770665587562757 -0.395128523371261 -0.660199361041935 0.11231984174566 -0.252698688125806 -0.720579056577713 -0.0846075231245126 -0.263695423252786 -0.804764542375367 -0.503323420175953 0.075626283568915 -0.0174901508665689
4 1 "WALKING" 0.277034464752577 -0.0133496817746907 -0.105916135927835 -0.0678712812492784 -0.156368756489691 0.0766007644994845 0.731456509896907 0.072347989306416 0.193993433768041 0.0155882672051546 -0.49831705736701 0.096225694371134 0.0780162237953608 -0.0010311298138299 -0.00737070069603093 0.00135531729850515 0.197847395923505 0.194739328559216 -0.0298726752979381 -0.0750086556675258 0.0956607416628866 -0.222870462705155 0.234247124755031 -0.0466266655935567 -0.10509869233866 -0.0410624426912371 -0.060866534304433 -0.0718818601958763 0.322268352241237 0.068492939492165 -0.0181418347559278 0.068492939492165 -0.0181418347559278 -0.0588774684220619 -0.109171201623711 0.0313508160061856 -0.00785350698247423 -0.208929774939691 -0.0676029171634536 -0.140919850371134 -0.698994344226804 -0.610966605674742 -0.784964119020619 -0.765547055448454 -0.797938143690722 -0.915146707886598 -0.979968890773196 -0.936672575051546 -0.985342698092784 -0.717973724971649 -0.684648403917526 -0.845383895412371 -0.285979381443299 -0.291134020618557 -0.25360824742268 -0.976455910154639 -0.969913930618557 -0.986293425103093 -0.708097003278351 -0.851859241237113 -0.723913683350515 -0.934364260309278 -0.902893248659794 -0.880554567938144 -0.978166389381443 -0.940226189536083 -0.752873850798969 0.0691602833970103 -0.273276610600515 -0.743382953706186 0.165043041249278 -0.286188778181856 -0.80571518371134 -0.157891340330412 -0.182824275746649 -0.864517656030928 -0.59471513242268 0.00844827569072165 -0.117193013012371
4 2 "WALKING_UPSTAIRS" 0.269685855146341 -0.0171085099442602 -0.110053359325203 -0.153539207687805 0.016141604504065 0.0174483277930894 0.667377493902439 0.176064219895122 0.117030634772358 -0.227560364146341 -0.295081052577236 0.178541951857724 0.080200587601626 0.0106812194621382 -0.00737856315243902 0.0684869533569106 0.203293251369919 0.00296774295284553 -0.027473566188374 -0.0845813729861789 0.0958069867471545 -0.238292485559065 0.286796160634146 -0.0749720987715447 -0.112213469653659 -0.0384344734528455 -0.0529863681443902 -0.101939742480813 0.356471535410569 0.0512658310173171 -0.00438647533495935 0.0512658310173171 -0.00438647533495935 -0.00165200502682927 -0.0862475860609756 -0.0863890936653659 0.082045297649187 -0.237525319520325 -0.0818917715380488 -0.140413229717886 -0.518103409715447 -0.391561268041463 -0.708346275365854 -0.770784157333333 -0.711653115666667 -0.885553469837398 -0.970573310569106 -0.906963788699187 -0.976937501300813 -0.548003358486179 -0.470861077819187 -0.793248930406504 -0.431544715447154 -0.35869918699187 -0.311219512195122 -0.97082645504065 -0.963771407886179 -0.978123311544715 -0.537445270313821 -0.799459630325203 -0.634729117447154 -0.92682926796748 -0.89457120300813 -0.813849172926829 -0.96207939300813 -0.936555369186992 -0.634126916455285 0.139269821727642 -0.351641652233415 -0.600296204243902 0.153282705439837 -0.199675452392683 -0.724954720894309 -0.0842086255799187 -0.19438410435374 -0.782958469186992 -0.547883935284553 -0.0967313490650406 -0.0611881534160976
5 1 "WALKING" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.104839780834437 -0.139099290978245 0.183328842972351 0.698153719072848 0.112313109736755 0.0921607197449904 0.00255019218112583 -0.262667718788344 0.119310090465795 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.0416479909569868 -0.102733848671523 0.17715523763904 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.0573342885188742 -0.0539620611665563 -0.109456425406623 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 0.0519118728857616 0.0778619220718576 0.0503938996625828 0.053124321057149 0.0503938996625828 0.053124321057149 0.0113682880754967 -0.114345226291523 -0.141134880855546 0.133752004337119 -0.249911561587086 -0.142497794135232 0.0532652248103642 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.73723563184106 -0.679028697155629 -0.911614873907285 -0.968543533708609 -0.891705566986755 -0.977865027350993 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.423576158940397 -0.374039735099338 -0.285298013245033 -0.95978298986755 -0.926707563509934 -0.979199594966887 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.85916114697351 -0.850459303612583 -0.629367435225166 -0.939123032016556 -0.869530871655629 -0.653257010125828 0.0781455594845364 -0.346153520669205 -0.634845557650331 0.131619298935099 -0.262184771960927 -0.682794467708278 0.062219113935298 -0.335159516929801 -0.74963716889404 -0.598120786887417 -0.0378727910794702 -0.0440818730005695
6 1 "WALKING" 0.269434151902542 -0.0163911123936864 -0.117900692084746 -0.0617539467652542 -0.213612893964407 0.124522713170339 0.670506153601695 0.0612321366461864 0.0584702778558475 0.190705917333051 0.00394235679237288 0.143868732830508 0.0866435091149576 0.00183060788194915 -0.000810930989618644 -0.0336924011033898 -0.147161713717288 0.130303278963898 -0.0342840234147034 -0.0772570116263983 0.104308754638941 -0.160932752578686 -0.0383138508473729 -0.153196923779746 -0.0919680285336017 -0.0437656755737288 -0.0571513411507627 -0.0523559761712712 -0.0616981701427966 0.0125400571853814 0.0328037087978814 0.0125400571853814 0.0328037087978814 -0.0633174665212712 -0.0690890072542373 -0.110491116003475 0.143838871380508 -0.223313183477542 -0.148111696400805 -0.0437865404427966 -0.646620302652542 -0.578355099619068 -0.814738365169491 -0.666211043262712 -0.696045197665254 -0.898305083855932 -0.984108699067797 -0.954421270847458 -0.98982598661017 -0.677779817705085 -0.66059454675 -0.859603672415254 -0.37 -0.373389830508475 -0.284915254237288 -0.978827492838983 -0.971224819533898 -0.989743674025424 -0.710060816508475 -0.761625061822034 -0.668113881479237 -0.835310733771186 -0.755877528610169 -0.717708942042373 -0.954761070254237 -0.913015139322034 -0.734750779123305 0.0867856673349576 -0.284405428747881 -0.707814265364407 0.12334013105 -0.301727162648305 -0.736818396572881 0.0355471964580509 -0.407703651101695 -0.795806128699153 -0.515171309957627 -0.0133259062199153 -0.0205599619629661
6 2 "WALKING_UPSTAIRS" 0.280179098426966 -0.0206949591117978 -0.110940029325843 -0.298399796901124 -0.333756176692135 0.0801557209164045 0.736951892247191 -0.103190808202247 0.0184833048368539 0.340862952696629 0.179428757834831 0.258941241561798 0.0674351008988764 -0.00310401228089888 -0.00609868840674157 -0.294195504707865 -0.254119599046404 0.11815088703191 -0.067430938188764 -0.0529948418524719 0.0787625669280899 -0.332076545969663 -0.0752762523393258 -0.254311604221348 -0.0589128557764045 -0.0500700364842697 -0.0433103259283146 -0.292527698921348 -0.00368411749213483 0.0874325460775281 -0.053742880752809 0.0874325460775281 -0.053742880752809 0.127157823877528 -0.0791755148011236 -0.261915810001124 0.109796337238202 -0.234982904650562 -0.274199802831461 -0.00271132830449438 -0.133757972988764 0.102003878820225 -0.336322224157303 -0.778905397752809 -0.59775280858427 -0.616248918123596 -0.878457451573034 -0.773360798089888 -0.842473784157303 -0.2089562025 -0.0871500384348315 -0.352981568269663 -0.546966292134831 -0.41438202247191 -0.31685393258427 -0.797785642303371 -0.684321207640449 -0.835380862494382 -0.0788327637831461 -0.248795741449438 -0.0819830495561798 -0.802996253449438 -0.306270388438202 -0.294846959539326 -0.84485964788764 -0.712058461910112 -0.295390527493258 0.143609598123595 -0.390472703202247 -0.204071277241573 -0.0235437494146067 -0.164712778146067 -0.194826290668876 0.286221526499775 -0.56715163358427 -0.223039217160674 -0.564420031460674 0.107396804719101 0.00868112920693258
7 2 "WALKING_UPSTAIRS" 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.102072422787987 -0.329067720718831 0.282343572058539 0.681289120844156 -0.0420221452496753 0.0342160711928604 0.209790930598571 -0.00534610799058442 0.155881847342857 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.239465287087597 -0.149512568734091 0.289222287221753 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.172736836012987 0.167617086041584 -0.219587057735649 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.0109860908261364 0.177897102237175 0.0931850174024026 0.0155946595167532 0.0931850174024026 0.0155946595167532 0.0646594409574675 -0.124840334139935 -0.133872426348377 0.0972408273607143 -0.315407501682143 -0.0731299231448052 0.0803812077321429 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.773146206931818 -0.824891773811688 -0.836663336136364 -0.904566780487013 -0.732737915051948 -0.944872327792208 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.457402597402597 -0.39025974025974 -0.397792207792208 -0.885563640032468 -0.813756034220779 -0.94657277512987 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.84329004288961 -0.687473816587662 -0.830721003344156 -0.961674929285714 -0.900843061850649 -0.659038693938312 -0.0106873745212792 -0.227779791430519 -0.614527736458117 0.108695730522532 -0.199255572314968 -0.69760027337987 -0.0352276334005552 -0.175918806325552 -0.659487308192208 -0.525683267337662 0.108786539103896 -0.0334261884535714
8 2 "WALKING_UPSTAIRS" 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.065379908877758 -0.211720658913879 0.0724944851658363 0.647498175409253 0.0303211113118861 0.0836542406807936 0.192033115045196 -0.171261920681851 0.00877554257366548 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.110550568723203 0.0618833622615658 0.127423209866459 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.179744894541993 -0.0828299739092527 -0.0633462940836299 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 0.00737841273177936 -0.0386130727882562 -0.0317550063707794 0.0972804665615658 -0.0317550063707794 0.0972804665615658 -0.0726281959758007 -0.0986690342661922 -0.0601828147890925 0.0521095579017794 -0.24234434401032 -0.0700893910650534 -0.14778366546427 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.772471585932384 -0.76156583611032 -0.831097727049822 -0.898682009594306 -0.746922231514235 -0.916322651032028 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.364128113879004 -0.386049822064057 -0.309893238434164 -0.880814591067616 -0.814314846735587 -0.923104942348754 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.901779358967972 -0.83446217366548 -0.814701190569395 -0.907509390149466 -0.733793607206406 -0.627688135491815 0.146541439681957 -0.384178438546975 -0.597362748481495 0.271528870278648 -0.46724114513879 -0.635529225674733 -0.0232241525951918 -0.224005505061566 -0.691473046644128 -0.464037618576512 0.0469561517516014 -0.0596437771975801
